Date,Voucher_Number,Reference,Category,Category_Type,Voucher_Type,Ledger_Name,Ledger_Parent,Amount,State_Name
05-05-2026,P/062/SC/26-27,P/062/AMC/WTP/26-27,WTP,AMC,Service,ARCVAC FORGECAST PVT. LTD.,Calcutta Debtors,24255.0,West Bengal
05-05-2026,P/063/SC/26-27,P/063/OM/WTP/26-27,WTP,OM,Service,UDDIPA ASSOCIATION OF APARTMENT OWNERS,Calcutta Debtors,85714.0,West Bengal
05-05-2026,P/064/SC/26-27,P/064/OM/WTP/26-27,WTP,OM,Service,MANI'S FACIALITY MANAGEMENT PVT LTD (QUEENS PARK),Calcutta Debtors,24675.0,West Bengal
05-05-2026,P/065/SC/26-27,P/065/OM/WTP/26-27,WTP,OM,Service,MANI'S FACIALITY MANAGEMENT PVT LTD (MANI VISTA),Calcutta Debtors,89775.0,West Bengal
05-05-2026,P/066/SC/26-27,P/066/OM/WTP/26-27,WTP,OM,Service,ELLIOT FACILITY MANAGEMENT PVT LTD,Calcutta Debtors,62000.0,West Bengal
05-05-2026,P/067/SC/26-27,P/067/OM/WTP/26-27,WTP,OM,Service,SUGAM DIAMOND ABASAN LLP,Calcutta Debtors,44000.0,West Bengal
05-05-2026,P/068/SC/26-27,P/068/OM/WTP/26-27,WTP,OM,Service,HAPPY VISHNU GRIHA LLP,Calcutta Debtors,40000.0,West Bengal
05-05-2026,P/069/SC/26-27,P/069/OM/WTP/26-27,WTP,OM,Service,ARYA GARDEN LLP,Calcutta Debtors,34000.0,West Bengal
05-05-2026,P/070/SC/26-27,P/070/OM/WTP/26-27,WTP,OM,Service,SUGAM DIAMOND PROJECTS LLP(URBAN LAKE),Calcutta Debtors,22000.0,West Bengal
05-05-2026,P/071/SC/26-27,P/071/OM/WTP/26-27,WTP,OM,Service,GRASIM INDUSTRIES LTD.,Calcutta Debtors,36000.0,West Bengal
05-05-2026,P/072/SC/26-27,P/072/AMC/BLK/26-27,BLK,AMC,Service,PADMASINI RICE MILL,ORISSA DEBTORS,20000.0,Odisha
05-05-2026,P/073/SC/26-27,P/073/OM/WTP/26-27,WTP,OM,Service,KANHAIYA RICE INDUSTRY,ORISSA DEBTORS,20000.0,Odisha
06-05-2026,P/074/SC/26-27,P/074/OM/WTP/26-27,WTP,OM,Service,GRASIM INDUSTRIES LTD.,Calcutta Debtors,15833.0,West Bengal
06-05-2026,P/075/SC/26-27,P/075/AMC/WTP/26-27,WTP,AMC,Service,MAAN STEEL & POWER LIMITED,Calcutta Debtors,50000.0,West Bengal
07-05-2026,P/076/SC/26-27,P/076/AMC/HTG/26-27,HTG,AMC,Service,HYGEINIC POLYMERS,Calcutta Debtors,42000.0,West Bengal
07-05-2026,P/077/SC/26-27,P/077/AMC/HTG/26-27,HTG,AMC,Service,BAJARANGI RICE MILL,MILLTEC DEBTORS,18000.0,Odisha
07-05-2026,P/078/SC/26-27,P/078/SC/HTG/26-27,HTG,SC,Service,SHAKAMBHARI ISPAT & POWER LTD.,Calcutta Debtors,8000.0,West Bengal
08-05-2026,P/079/SC/26-27,P/079/COM/HTG/26-27,HTG,COM,Service,THERMAX LIMITED (HEATING DIVISION),Calcutta Debtors,25250.0,Maharashtra
08-05-2026,P/080/SC/26-27,P/080/COM/HTG/26-27,HTG,COM,Service,THERMAX LIMITED (HEATING DIVISION),Calcutta Debtors,41000.0,Maharashtra
08-05-2026,P/081/SC/26-27,P/081/COM/HTG/26-27,HTG,COM,Service,THERMAX LIMITED (HEATING DIVISION),Calcutta Debtors,34000.0,Maharashtra
08-05-2026,P/082/SC/26-27,P/082/COM/HTG/26-27,HTG,COM,Service,THERMAX LIMITED (HEATING DIVISION),Calcutta Debtors,25000.0,Maharashtra
08-05-2026,P/083/SC/26-27,P/083/COM/HTG/26-27,HTG,COM,Service,THERMAX LIMITED (HEATING DIVISION),Calcutta Debtors,20000.0,Maharashtra
08-05-2026,P/084/SC/26-27,P/084/COM/HTG/26-27,HTG,COM,Service,THERMAX LIMITED (HEATING DIVISION),Calcutta Debtors,25000.0,Maharashtra
09-05-2026,P/085/SC/26-27,P/085/AMC/WTP/26-27,WTP,AMC,Service,OIL & NATURAL GAS CORPORATION LIMITED,Assam Debtors,175000.0,Assam
09-05-2026,P/086/SC/26-27,P/086/OM/WTP/26-27,WTP,OM,Service,MANI REALTY PROJECTS PVT LTD. (A/C. MANI ANANTA),Calcutta Debtors,67000.0,West Bengal
09-05-2026,P/087/SC/26-27,P/087/OM/WTP/26-27,WTP,OM,Service,MANI REALTY PROJECTS PVT LTD. (A/C. MANI ANANTA),Calcutta Debtors,26000.0,West Bengal
09-05-2026,P/088/SC/26-27,P/088/OM/WTP/26-27,WTP,OM,Service,MANI'S FACILITY MANAGEMENT PVT LTD.(SWARNAMANI-T5),Calcutta Debtors,65100.0,West Bengal
